id,message,time,relative_time,author
2399845167,"Bom, como não sei os detalhes de como está fazendo, minha solução pode não ser exatamente o que você precisa. Primeiro quebre cada timestamp em em segundos. Então, dado que você tem ""48:00:00"", isso daria 172_800 segundos. Se for uma data negativa, ficaria -172_800. Sendo assim, você pode simplesmente adicionar o offset à data, como Time.now + offset.
Fiz um exemplo, mas de novo, não sei se é exatamente o que precisa.
https://gist.github.com/2be...","Terça-Feira, 8 de Dezembro de 2015 às 14:25",8 anos atrás,Nando Vieira
2399875520,Era exatamente isso Nando. Valeu mesmo pela dica.,"Terça-Feira, 8 de Dezembro de 2015 às 14:40",8 anos atrás,Victor Rodrigues
2404217355,Obrigado Nando! Muito bom!,"Quinta-Feira, 10 de Dezembro de 2015 às 23:56",8 anos atrás,candidosales
3008292019,"Parabéns pelo Artigo Nando, semple olho suas dicas para aprender mais sobre Rails(sou novo no ramo ainda). Se não for encomodar, gostaria de pedir uma dica. Tive que fazer um filtro por data no sistema, essa query é feita utilizando a gem ransack e eu tbm utilizei o datetimepicker do bootstrap para dar um design interessante. Porém, sempre depois que a busca é executada o formato que a data vinha depois de atualizar a página, era totalmente errado. Ex: ""2016-11-18 00:00:00 -0200"", encontrei algumas soluções no stacker overflow, e o máximo que consegui foi deixar a data formatada para ""11/18/2016"" na hora de selecionar, mas aí, quando a página é recarregada o filtro não mantém a data da buscada, ele ""limpa"" o input e aí fica em branco. Existe alguma solução para isso?","Sexta-Feira, 18 de Novembro de 2016 às 10:18",7 anos atrás,Bruno Henrique
3351493654,Estou com esse problema. Como você resolveu?,"Sexta-Feira, 9 de Junho de 2017 às 19:02",6 anos atrás,R.
4656052979,Ajudou muito,"Quinta-Feira, 17 de Outubro de 2019 às 15:00",4 anos atrás,Gabriel Bortolote
5434117008,Excelente! Obrigado por isso.,"Sábado, 26 de Junho de 2021 às 13:37",2 anos atrás,Alisson Viegas
6208584034,"Muito boa a explicação sobre o Time, mas to tendando aqui manipular somente a Data. Eu quero cirar um calculo que ao criar uma cobrança por exemplo na data Jun 16 2023 eu crie as próximas com um mes a mais. Não to conseguindo, não achei nada a respeito aqui no seu post, que é ótimo. Vou usar bastante nos Time.","Quarta-Feira, 14 de Junho de 2023 às 18:09",3 meses atrás,Tiago Lelinski Marin
2394458498,"Nando, o que você está utilizando para escrever livros, ebooks e afins?","Sábado, 5 de Dezembro de 2015 às 07:30",8 anos atrás,Leandro Nunes
2394689310,"Uso http://github.com/fnando/ki..., que usa princexml para gerar o pdf.","Sábado, 5 de Dezembro de 2015 às 12:03",8 anos atrás,Nando Vieira
2394586871,"Nando, um app que eu tenho usado e que eu achei bem legal, é o flow ele ""amarela"" a tela e faz com que fique mais confortável usar o computador por muitas horas a noite...","Sábado, 5 de Dezembro de 2015 às 10:28",8 anos atrás,Yui
2394685911,Já tentei usar mas achei muito irritante.,"Sábado, 5 de Dezembro de 2015 às 12:00",8 anos atrás,Nando Vieira
2396151338,Algum motivo em especial?,"Domingo, 6 de Dezembro de 2015 às 10:55",8 anos atrás,Yui
2396155848,Só a mudança de cor mesmo.,"Domingo, 6 de Dezembro de 2015 às 11:00",8 anos atrás,Nando Vieira
2397959861,Skitch é bem legal pra anotações em screenshots https://evernote.com/skitch/,"Segunda-Feira, 7 de Dezembro de 2015 às 13:25",8 anos atrás,Carlos Souza
2398250321,"Eu usava o Skitch antes de a Evernote comprar a empresa, mas eles destruiram o app no começo da migração, mas não sei dizer se melhorou de lá para cá. Foi quando descobri o Annotate (que antes era chamado de Glui) e que substituiu completamente como eu usava o Skitch.","Segunda-Feira, 7 de Dezembro de 2015 às 16:10",8 anos atrás,Nando Vieira
2411182540,uso skitch tbm :),"Terça-Feira, 15 de Dezembro de 2015 às 15:26",8 anos atrás,Daniel Filho
2399678946,"Mantenho uma lista dos apps que uso no Trello: http://trello.com/b/s3oOEdS...
Um que tenho usado para previnir o Mac entre em modo de hibernação é o Amphetamine.","Terça-Feira, 8 de Dezembro de 2015 às 12:48",8 anos atrás,Odilon Alves de Oliveira
